tphcm, thành phố hồ chí minh
q12, quận 12
q11, quận 11
q10, quận 10
q9, quận 9
q8, quận 8
q7, quận 7
q6, quận 6
q5, quận 5
q4, quận 4
q3, quận 3
q2, quận 2
q1, quận 1
mt, mặt tiền
kp, khu phố
kđt, khu đô thị
kdc, khu dân cư
tp, thành phố
hcm, hồ chí minh
sg, sài gòn
kcn, khu công nghiệp
kcx, khu chế xuất
hn, hà nội
tt, thị trấn
ql, quốc lộ
đg, đường
p17, phường 17
p16, phường 16
p15, phường 15
p14, phường 14
p13, phường 13
p12, phường 12
p11, phường 11
p10, phường 10
p9, phương 9
p8, phường 8
p7, phương 7
p6, phường 6
p5, phường 5
p4, phường 4
p3, phường 3
p2, phường 2
p1, phường 1
plb, phước long b
pla, phước long a
hbt, hai bà trưng
cc, chung cư
quận 2, thủ đức
quận 9, thủ đức